VIN,brand,model,trim,manufacture_year,mileage,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state,MPG
 1FM5K8D89JGB24562,Ford,Explorer,XLT 4WD,2018,71988, Automatic,4WD,Gas,Black,Black,0,1,Fleetuse,25600,4, FL,19.0
 1GCVKPEC3EZ197745,Chevrolet,Silverado 1500,WT with 1WT Double Cab Standard Box 4WD,2014,128783, Automatic,4WD,Gas,White,Black,0,2,Fleetuse,18499,8, TX,19.5
 1C4PJMDX3KD409230,Jeep,Cherokee,Limited 4WD,2019,36909, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,28964,3, PA,23.0
 1FTEW1EP3JFD61978,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,39250, Automatic,4WD,Gas,White,Gray,0,2,Personaluse,35900,4, IL,20.5
 1FTEW1EP8MFA86662,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2021,6363, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,46573,1, AZ,20.5
 2G11Z5S32L9104345,Chevrolet,Impala,LT with 1LT,2020,52067, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,22997,2, TX,23.5
 1G1ZD5ST3LF117324,Chevrolet,Malibu,LT,2020,45685, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,23389,2, NC,32.5
 1FTEW1C86HKD46663,Ford,F-150,XLT SuperCrew 5.5' Box RWD,2017,87319, Automatic,RWD,Gas,Silver,Gray,0,2,Personaluse,24995,5, GA,21.5
 1G1ZD5ST1LF052442,Chevrolet,Malibu,LT,2020,63570, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,19690,2, FL,32.5
 3GCUKREC3JG487307,Chevrolet,Silverado 1500,LT Z71 Crew Cab Short Box 4WD,2018,39974, Automatic,4WD,Gas,White,Black,0,1,Personaluse,37995,4, FL,19.5
 JHMFC1F36JX029485,Honda,Civic,EX-T Sedan CVT,2018,75300, Automatic,FWD,Gas,White,Black,0,1,Personaluse,18997,4, FL,37.0
 1FTEW1E43LKF35564,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,24184, Automatic,4WD,Gas,Black,Gray,0,1,Personaluse,44988,2, NE,20.5
 1N4AL3AP4FC589933,Nissan,Altima,2.5 SV,2015,125329, Automatic,FWD,Gas,Black,Black,0,3,Personaluse,9908,7, AZ,32.5
 1FTEW1E56KFC77850,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,34729, Automatic,4WD,Gas,White,Gray,0,1,Personaluse,40800,3, TN,20.5
 MAJ6S3JLXLC360562,Ford,EcoSport,SES 4WD,2020,50186, Automatic,4WD,Gas,Black,Black,1,1,Fleetuse,18998,2, FL,26.0
 JTMA1RFV7KD508650,Toyota,RAV4,XLE Premium AWD,2019,50928, Automatic,AWD,Gas,White,Black,0,1,Personaluse,28545,3, CT,29.0
 1FT7W2B64KEE86392,Ford,Super Duty F-250,XLT 4WD Crew Cab 6.75' Box,2019,70912, Automatic,4WD,Gas,White,Black,1,3,Personaluse,42950,3, OH,23.5
 1C3CCCBB0FN750633,Chrysler,200,S FWD,2015,81692, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,12995,7, MI,29.5
 1C4GJXAG6JW280313,Jeep,Wrangler,Sport (JL),2018,25657, Automatic,4WD,Gas,White,Black,0,1,Personaluse,30995,4, LA,21.0
 JA4AD3A39JJ003665,Mitsubishi,Outlander,SE FWD,2018,122778, Automatic,FWD,Gas,Black,Black,0,3,Personaluse,11900,4, TX,27.5
 1FT7W2B62KED38757,Ford,Super Duty F-250,XL 4WD Crew Cab 6.75' Box,2019,97409, Automatic,4WD,Gas,White,Gray,0,1,Personaluse,34995,3, CO,23.5
 1FTFW1EV7AFD07568,Ford,F-150,Lariat SuperCrew 6.5' Box 4WD,2010,139784, Automatic,4WD,Gas,Blue,Beige,0,2,Personaluse,12300,12, KS,16.0
 JTMH1RFV6LD060546,Toyota,RAV4,LE FWD,2020,17288, Automatic,FWD,Gas,White,Brown,0,1,Personaluse,29977,2, FL,31.0
 3GTU2NEJ1JG245252,GMC,Sierra 1500,SLT Crew Cab Short Box 4WD,2018,48988, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,38541,4, NY,18.5
 1C4NJPBB2GD810064,Jeep,Patriot,Sport FWD,2016,114881, Automatic,FWD,Gas,Gray,Gray,0,2,Fleetuse,11500,6, TX,26.5
 5YFEPRAE2LP021104,Toyota,Corolla,LE CVT,2020,37390, Automatic,FWD,Gas,Black,Gray,0,3,Fleetuse,20800,2, VA,34.0
 3LNHM26T88R606108,Lincoln,MKZ,FWD,2008,161595, Automatic,FWD,Gas,Black,Black,0,4,Fleetuse,6358,14, CA,23.0
 1N4AL3AP4EC264827,Nissan,Altima,2.5 S,2014,140051, Automatic,FWD,Gas,Gray,Black,1,3,Fleetuse,7999,8, CA,32.5
 1FMCU9HDXKUC38264,Ford,Escape,SEL AWD,2019,18355, Automatic,AWD,Gas,Gray,Black,0,1,Personaluse,24999,3, OH,25.0
 3KPFK4A79HE066797,Kia,Forte,LX Sedan Automatic,2017,92701, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,13999,5, TX,33.5
 1FTEW1E50JKE01374,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,90778, Automatic,4WD,Gas,White,Gray,2,2,Personaluse,30489,4, TN,20.5
 1FM5K8D80JGB20660,Ford,Explorer,XLT 4WD,2018,55985, Automatic,4WD,Gas,Black,Black,0,1,Fleetuse,27200,4, MI,19.0
 1G1BE5SM2G7270591,Chevrolet,Cruze,LT Sedan Automatic,2016,122494, Automatic,FWD,Gas,Blue,Black,0,3,Personaluse,9999,6, AZ,36.0
 1C4RJFBG7KC765483,Jeep,Grand Cherokee,Limited 4WD,2019,62537, Automatic,4WD,Gas,White,Black,0,1,Personaluse,30495,3, NY,21.5
 1C6RR7FG5KS581651,Ram,1500 ,"Tradesman Quad Cab 6'4"" Box 4WD",2019,45477, Automatic,4WD,Gas,Gray,Gray,0,0,Personaluse,29900,3, NY,19.5
 WDDSJ4EB4JN576594,Mercedes-Benz,CLA,CLA 250 FWD,2018,31644, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,25496,4, CA,30.5
 1C4RJFCT4DC635675,Jeep,Grand Cherokee,Overland 4WD,2013,150820, Automatic,4WD,Gas,Gray,Black,3,1,Personaluse,12999,9, VA,19.5
 SADCL2GX3JA283030,Jaguar,F-PACE,R-Sport 30t,2018,86305, Automatic,AWD,Gas,White,Black,0,1,Personaluse,33491,4, IL,24.5
 3GCPCSE01DG357943,Chevrolet,Silverado 1500,LT Crew Cab Short Box 2WD,2013,81001, Automatic,RWD,Gas,White,Black,0,1,Personaluse,21999,9, CA,16.5
 1FM5K7D8XGGB86099,Ford,Explorer,XLT FWD,2016,97373, Automatic,FWD,Gas,White,Beige,1,2,Personaluse,19996,6, CA,20.5
 3GCUKREC5FG313729,Chevrolet,Silverado 1500,LT Z71 Crew Cab Short Box 4WD,2015,96693, Automatic,4WD,Gas,Silver,Black,1,1,Personaluse,27990,7, IN,19.5
 3N1AB7AP5KY256231,Nissan,Sentra,S CVT,2019,54381, Automatic,FWD,Gas,Black,Black,0,1,Fleetuse,16790,3, CA,31.0
 2T3RFREVXJW738447,Toyota,RAV4,XLE AWD,2018,141585, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,19999,4, WA,25.0
 4T1BF1FK5GU531568,Toyota,Camry,XLE I4 Automatic,2016,87324, Automatic,FWD,Gas,Silver,Beige,0,2,Fleetuse,15485,6, GA,30.0
 1FTFW1EF8EFC58508,Ford,F-150,Platinum SuperCrew 5.5' Box 4WD,2014,115259, Automatic,4WD,Gas,Black,Gray,1,2,Personaluse,20399,8, NJ,16.5
 1FTEW1EP1JFA92332,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,40517, Automatic,4WD,Gas,White,Black,0,1,Personaluse,35929,4, MD,20.5
 3N1AB7AP9KY325275,Nissan,Sentra,SV CVT,2019,72950, Automatic,FWD,Gas,Silver,Black,0,2,Personaluse,18888,3, TX,33.0
 1N4BL4BV4LC197022,Nissan,Altima,2.5 S FWD,2020,64844, Automatic,FWD,Gas,White,Black,0,1,Personaluse,20977,2, GA,33.5
 4JGFB4KBXLA059478,Mercedes-Benz,GLE,GLE 350 4MATIC,2020,46009, Automatic,AWD,Gas,Black,Black,0,2,Personaluse,49231,2, NY,22.5
 1N6DD0ER0KN762437,Nissan,Frontier,SV Crew Cab 2WD Automatic,2019,26570, Automatic,RWD,Gas,Black,Gray,0,1,Personaluse,26994,3, TX,19.0
 2HGFC2F81KH582782,Honda,Civic,Sport Sedan CVT,2019,29171, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,24472,3, CA,30.5
 2C4RC1BG2LR124666,Chrysler,Pacifica,Touring L FWD,2020,61948, Automatic,FWD,Gas,Silver,Black,1,1,Fleetuse,24699,2, GA,23.5
 1FTFW1EF4EKE59314,Ford,F-150,XL SuperCrew 5.5' Box 4WD,2014,146493, Automatic,4WD,Gas,White,Black,0,1,Fleetuse,19455,8, CO,16.5
 1FATP8UH1L5106560,Ford,Mustang,EcoBoost Premium Convertible,2020,45676, Automatic,RWD,Gas,White,Black,0,1,Personaluse,29081,2, TX,24.0
 4T1G11AK1LU310247,Toyota,Camry,SE FWD Automatic,2020,55132, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,23995,2, CA,33.5
 5TFCZ5AN4KX188431,Toyota,Tacoma,SR Double Cab 5' Bed V6 4WD Automatic,2019,16533, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,44981,3, PA,20.0
 5NPDH4AE4CH122251,Hyundai,Elantra,Limited Sedan Automatic (Alabama Plant) (PZEV),2012,120560, Automatic,FWD,Gas,White,Beige,0,2,Personaluse,7879,10, CA,33.0
 1G1ZD5ST0JF246747,Chevrolet,Malibu,LT with 1LT,2018,43397, Automatic,FWD,Gas,Blue,Black,0,1,Personaluse,22890,4, TX,31.5
 1FM5K8D80JGC58361,Ford,Explorer,XLT 4WD,2018,30646, Automatic,4WD,Gas,Black,Black,0,1,Fleetuse,30237,4, SC,19.0
 KL8CL6S00EC469205,Chevrolet,Spark EV,EV LT with 1SB AT,2014,74602, Automatic,FWD,Electric,Black,Gray,0,3,Personaluse,10299,8, CO,118.5
 1C6SRFFT6KN764984,Ram,1500,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD",2019,48511, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,38364,3, ME,21.5
 1GNDT13X44K167227,Chevrolet,Blazer,LS 4-Door 4WD AT,2004,138816, Automatic,4WD,Gas,White,Beige,0,12,Personaluse,6499,18, CO,17.0
 1FTEW1EP9JFC84856,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,23880, Automatic,4WD,Gas,White,Black,0,1,Fleetuse,37760,4, NC,20.5
 1C6SRFKT5LN323922,Ram,1500,"Longhorn Crew Cab 5'7"" Box 4WD",2020,107429, Automatic,4WD,Gas,White,Brown,0,1,Personaluse,44388,2, TX,21.5
 1C4RJFBG8JC331507,Jeep,Grand Cherokee,Limited 4WD,2018,45571, Automatic,4WD,Gas,Silver,Black,0,4,Personaluse,29957,4, ID,21.5
 3N1AB7AP2DL730572,Nissan,Sentra,SV CVT,2013,92724, Automatic,FWD,Gas,White,Black,0,3,Personaluse,10443,9, NV,34.5
 3N1CE2CP4FL353309,Nissan,Versa,Note 1.6 SV CVT,2015,93721, Automatic,FWD,Gas,Blue,Black,0,3,Fleetuse,8991,7, AZ,35.5
 1FTEW1E57LFA96726,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,42904, Automatic,4WD,Gas,Black,Gray,0,2,Personaluse,38995,2, IL,20.5
 2C4RDGCGXKR802321,Dodge,Grand Caravan,SXT,2019,51155, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,21993,3, PA,21.0
 1FTEW1E5XLFA63199,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,60592, Automatic,4WD,Gas,Black,Gray,0,2,Personaluse,36990,2, TX,20.5
 1FTFW1EF9DFC89975,Ford,F-150,FX4 SuperCrew 6.5' Box 4WD,2013,149197, Automatic,4WD,Gas,White,Black,1,2,Personaluse,12450,9, IL,16.5
 1FTEW1EG2JKF23591,Ford,F-150,XL SuperCrew 5.5' Box 4WD,2018,120839, Automatic,4WD,Gas,White,Gray,0,3,Fleetuse,22302,4, OH,20.5
 1GKKNULS5KZ268690,GMC,Acadia,SLT with SLT-1 AWD,2019,58784, Automatic,AWD,Gas,Black,Gray,0,1,Personaluse,29455,3, CA,21.0
 1C4PJMDX7KD356659,Jeep,Cherokee,Limited 4WD,2019,26176, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,30000,3, NJ,23.0
 1FTEW1CB4MKD56937,Ford,F-150,XLT SuperCrew 5.5' Box 2WD,2021,23062, Automatic,RWD,Gas,Black,Gray,0,1,Fleetuse,40590,1, TX,22.0
 1GCRYDED0LZ197027,Chevrolet,Silverado 1500,LT Double Cab Standard Bed 4WD,2020,19460, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,38425,2, NC,20.5
 5GAKRBKDXHJ115044,Buick,Enclave,Leather FWD,2017,139029, Automatic,FWD,Gas,Gray,Gray,1,2,Fleetuse,14995,5, TX,18.5
 3FA6P0H73GR148814,Ford,Fusion,SE FWD,2016,115850, Automatic,FWD,Gas,Silver,Gray,0,3,Fleetuse,11900,6, NV,28.0
 1FDEE3FL8EDA34354,Ford,Econoline  ,"E-350 138"" SRW",2014,198228, Automatic,RWD,Gas,White,Gray,1,2,Personaluse,12988,8, FL,14.5
 5NPD84LF5LH582508,Hyundai,Elantra,SEL 2.0L IVT,2020,32698, Automatic,FWD,Gas,Blue,Gray,0,1,Fleetuse,19900,2, NC,35.0
 3GCUKREC1JG415635,Chevrolet,Silverado 1500,LT Z71 Crew Cab Short Box 4WD,2018,91797, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,30000,4, WI,19.5
 3FA6P0H79DR178802,Ford,Fusion,SE FWD,2013,108525, Automatic,FWD,Gas,Silver,Black,0,3,Personaluse,10998,9, CA,28.0
 1FMCU9GD0KUA29018,Ford,Escape,SE AWD,2019,21076, Automatic,AWD,Gas,Black,Gray,0,1,Personaluse,22985,3, PA,25.0
 2GNAXJEV5K6242987,Chevrolet,Equinox,LT with 2FL FWD,2019,39262, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,22233,3, NC,29.0
 JTDEPRAE9LJ073673,Toyota,Corolla,LE CVT,2020,41623, Automatic,FWD,Gas,Silver,Gray,0,2,Personaluse,21990,2, FL,34.0
 1C6RR7UT3FS648625,Ram,1500,"Sport Crew Cab 6'4"" Box 4WD",2015,129430, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,21972,7, NJ,18.0
 1FTFX1EF6EKE49767,Ford,F-150,XL SuperCab 8.0' Box 4WD,2014,135087, Automatic,4WD,Gas,White,Black,0,1,Personaluse,12799,8, NJ,16.5
 1FTEW1EP7JFD61644,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,37440, Automatic,4WD,Gas,Black,Gray,0,1,Personaluse,33500,4, OH,20.5
 1FTFW1EF3EFB19077,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2014,88120, Automatic,4WD,Gas,White,Black,0,1,Personaluse,22860,8, WA,16.5
 5GRGN23U43H134458,HUMMER,H2,SUV,2003,112000, Automatic,4WD,Gas,Black,Beige,0,4,Personaluse,16495,19, OR,16.0
 1G1ZD5STXLF090185,Chevrolet,Malibu,LT,2020,31940, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,23995,2, CA,32.5
 1C4BJWFG0FL746601,Jeep,Wrangler,Unlimited Rubicon,2015,58289, Automatic,4WD,Gas,White,Black,0,2,Personaluse,33998,7, TX,18.5
 1FMCU9GD2JUA19461,Ford,Escape,SE 4WD,2018,49691, Automatic,4WD,Gas,White,Black,0,1,Personaluse,20561,4, PA,25.0
 1C4BJWDG2HL504723,Jeep,Wrangler,Unlimited Sport,2017,74843, Automatic,4WD,Gas,Black,Black,1,2,Personaluse,27993,5, FL,18.5
 1C4RJFBG5HC912960,Jeep,Grand Cherokee,Limited 4WD,2017,87425, Automatic,4WD,Gas,Black,Black,1,2,Personaluse,22994,5, OH,21.5
 JN1BV7AP2FM340415,INFINITI,Q50,Premium RWD,2015,124509, Automatic,RWD,Gas,Red,Gray,1,2,Personaluse,15091,7, TX,24.5
 1FMCU0H64LUC40381,Ford,Escape,SEL FWD,2020,22370, Automatic,FWD,Gas,White,Black,0,2,Personaluse,27935,2, AR,30.0
 1FM5K8DH5KGA35329,Ford,Explorer,XLT 4WD,2019,21445, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,33990,3, NJ,19.0
 1FT7X2B60GEC12093,Ford,Super Duty F-250,"XL SuperCab 158"" 4WD",2016,166886, Automatic,4WD,Gas,White,Gray,0,2,Personaluse,18995,6, VA,23.5
 2C3CDXBG0LH140638,Dodge,Charger,SXT RWD,2020,58583, Automatic,RWD,Gas,White,Black,0,2,Personaluse,27398,2, AR,24.5
 JTHBJ46G182176846,Lexus,ES,ES 350,2008,194535, Automatic,FWD,Gas,Black,Black,2,4,Fleetuse,5799,14, CO,23.0
 4JGFB4KE3LA035081,Mercedes-Benz,GLE,GLE 350 4MATIC,2020,22605, Automatic,AWD,Gas,White,Black,0,1,Personaluse,55620,2, CA,22.5
 3FA6P0HDXGR248124,Ford,Fusion,SE FWD,2016,172996, Automatic,FWD,Gas,Silver,Black,0,2,Fleetuse,9250,6, TN,28.0
 2T2BZMCAXKC211754,Lexus,RX,RX 350 AWD,2019,14150, Automatic,AWD,Gas,Gray,Black,0,2,Personaluse,41000,3, MD,22.5
 2FMPK3J99KBB90501,Ford,Edge,SEL FWD,2019,49254, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,24739,3, TX,25.5
 JTNKARJE3JJ570067,Toyota,Corolla iM,CVT,2018,77298, Automatic,FWD,Gas,Black,Black,0,1,Fleetuse,15999,4, CA,32.0
 1FTEW1E84GKD00471,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2016,119631, Automatic,4WD,Gas,White,Gray,0,2,Personaluse,24800,6, CA,20.0
 1C4PJMCB6KD442857,Jeep,Cherokee,Latitude 4WD,2019,50989, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,18966,3, MD,25.0
 3FA6P0HD6KR125400,Ford,Fusion,SE FWD,2019,135846, Automatic,FWD,Gas,Silver,Gray,1,1,Personaluse,13458,3, MA,28.5
 JTHKD5BH8D2125477,Lexus,CT,CT 200h,2013,88588, Automatic,FWD,Hybrid,Red,Black,0,3,Fleetuse,12995,9, CA,41.5
 3FADP4EJ9JM117585,Ford,Fiesta,SE Hatch,2018,56474, Automatic,FWD,Gas,Black,Gray,1,2,Fleetuse,13372,4, TX,31.0
 3GNAXKEV1KS637692,Chevrolet,Equinox,LT with 1LT FWD,2019,23428, Automatic,FWD,Gas,Silver,Black,1,1,Personaluse,23111,3, IL,29.0
 1G1ZD5ST0LF069443,Chevrolet,Malibu,LT,2020,64990, Automatic,FWD,Gas,White,Black,0,1,Personaluse,20277,2, GA,32.5
 1FTEW1E84AFB91204,Ford,F-150,XL SuperCrew 5.5' Box 4WD,2010,194436, Automatic,4WD,Gas,Green,Gray,0,2,Personaluse,10999,12, CA,17.0
 1FTFW1E42KKD51526,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2019,93321, Automatic,4WD,Gas,Silver,Gray,0,2,Fleetuse,36348,3, NC,21.5
 3N1CN7AP0GL855395,Nissan,Versa,1.6 S Plus CVT,2016,128000, Automatic,FWD,Gas,Gray,Black,0,4,Fleetuse,7175,6, TX,35.5
 5NPE24AF7GH328572,Hyundai,Sonata,SE 2.4L,2016,90910, Automatic,FWD,Gas,Silver,Gray,0,2,Personaluse,12500,6, OK,31.5
 2LMPJ8LR7JBL25281,Lincoln,MKX,Reserve AWD,2018,40086, Automatic,AWD,Gas,Red,Black,0,2,Fleetuse,32528,4, GA,19.5
 3FA6P0D96LR193229,Ford,Fusion,Titanium AWD,2020,59462, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,30262,2, CA,24.5
 5NPEB4AC7EH929483,Hyundai,Sonata,GLS 2.4L Automatic,2014,86474, Automatic,FWD,Gas,Gray,Gray,0,4,Fleetuse,11995,8, SC,29.5
 1G1ZD5ST4LF040172,Chevrolet,Malibu,LT,2020,64335, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,20995,2, FL,32.5
 1C6RRFFG3LN277096,Ram,1500,"Big Horn Crew Cab 5'7"" Box 4WD",2020,20348, Automatic,4WD,Gas,Red,Black,0,1,Personaluse,39000,2, MI,21.5
 1N4AL3APXHN343590,Nissan,Altima,2.5 S,2017,124868, Automatic,FWD,Gas,Silver,Black,0,2,Personaluse,11999,5, TX,33.0
 3TMCZ5AN8MM382419,Toyota,Tacoma,TRD Off Road Double Cab 5' Bed V6 4WD Automatic,2021,15236, Automatic,4WD,Gas,Green,Black,1,1,Personaluse,34995,1, OR,20.0
 KL4CJASB9KB761559,Buick,Encore,Preferred FWD,2019,17553, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,22294,3, TX,27.5
 WBAJA5C5XKBX49110,BMW,5 ,530i RWD,2019,60692, Automatic,RWD,Gas,Black,White,0,1,Personaluse,30388,3, TX,29.0
 JTDEPRAE2LJ079380,Toyota,Corolla,LE CVT,2020,26585, Automatic,FWD,Gas,Black,Gray,0,1,Personaluse,21857,2, AZ,34.0
 1FTEW1CM4EKD50851,Ford,F-150,XLT SuperCrew 5.5' Box RWD,2014,108135, Automatic,RWD,Gas,White,Gray,0,3,Fleetuse,18990,8, TX,20.0
 1GT49PE76NF157817,GMC,Sierra 2500HD,AT4 Crew Cab Standard Bed 4WD,2022,4929, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,68999,0, SC,24.5
 3FA6P0H73HR382534,Ford,Fusion,SE FWD,2017,80629, Automatic,FWD,Gas,White,Black,0,2,Fleetuse,16465,5, TX,26.5
 1C6RREFT2LN209038,Ram,1500,"Lone Star Crew Cab 5'7"" Box 2WD",2020,34041, Automatic,RWD,Gas,Gray,Black,0,1,Personaluse,36384,2, TX,22.5
 1FTEW1E48KKF17253,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,39594, Automatic,4WD,Gas,Black,Gray,0,1,Personaluse,40978,3, IA,20.5
 SALWG2WF1EA365469,Land Rover,Rover Range Rover Sport,HSE,2014,64289, Automatic,4WD,Gas,White,Beige,0,2,Personaluse,31990,8, TX,20.0
 1C4RJFBG2JC183614,Jeep,Grand Cherokee,Limited 4WD,2018,92825, Automatic,4WD,Gas,Silver,Black,0,2,Personaluse,23500,4, FL,21.5
 3KPFK4A71JE208906,Kia,Forte,LX Sedan Automatic,2018,70584, Automatic,FWD,Gas,Gray,Black,1,1,Personaluse,14769,4, CA,33.0
 3FA6P0HD3LR202628,Ford,Fusion,SE FWD,2020,15542, Automatic,FWD,Gas,White,Black,0,1,Personaluse,25467,2, TX,28.5
 1FTBF2A63BEA62147,Ford,Super Duty F-250,"XL Regular Cab 137"" RWD",2011,203560, Automatic,RWD,Gas,White,Gray,0,2,Personaluse,12975,11, TX,23.5
 JN8AY2NC4KX509342,Nissan,Armada,SL AWD,2019,75227, Automatic,AWD,Gas,Gray,Black,0,2,Personaluse,29954,3, TX,15.5
 4T1C11AK9LU354768,Toyota,Camry,LE FWD Automatic,2020,21724, Automatic,FWD,Gas,Black,Gray,1,1,Fleetuse,22800,2, VA,33.5
 1FTEW1E50KFA20456,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2019,63047, Automatic,4WD,Gas,Black,Black,0,2,Personaluse,42787,3, MO,21.5
 1GYS4BKJ7GR299288,Cadillac,Escalade,Luxury 4WD,2016,113194, Automatic,4WD,Gas,White,Gray,0,2,Personaluse,31967,6, TX,18.0
 3GCUKREC7JG507624,Chevrolet,Silverado 1500,LT Z71 Crew Cab Short Box 4WD,2018,92236, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,35499,4, NC,19.5
 3GNEC12T94G228436,Chevrolet,Avalanche,1500 2WD,2004,216255, Automatic,RWD,Gas,Gray,Black,0,4,Personaluse,6995,18, AZ,17.5
 1FTFX1EG0JFB11793,Ford,F-150,XLT SuperCab 6.5' Box 4WD,2018,106156, Automatic,4WD,Gas,White,Black,0,2,Personaluse,26490,4, MN,20.5
 3GCPYFED9LG115850,Chevrolet,Silverado 1500,LT Trail Boss Crew Cab Short Bed 4WD,2020,30100, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,49988,2, LA,18.5
 1GCVKREH1JZ282357,Chevrolet,Silverado 1500,LT Double Cab Standard Box 4WD,2018,46642, Automatic,4WD,Gas,Gray,Black,0,2,Personaluse,28991,4, IL,19.5
 3GCPCREH5HG345573,Chevrolet,Silverado 1500,LT Crew Cab Short Box 2WD,2017,65324, Automatic,RWD,Gas,Black,Black,0,1,Personaluse,29398,5, FL,21.0
 4T1G11AK2LU906953,Toyota,Camry,SE FWD Automatic,2020,55333, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,19952,2, NY,33.5
 JM3KFACM9K0678302,Mazda,CX-5,Touring FWD,2019,49525, Automatic,FWD,Gas,White,Black,0,1,Personaluse,22991,3, AL,28.0
 1N4BL4BV8LC248618,Nissan,Altima,2.5 S FWD,2020,56944, Automatic,FWD,Gas,White,Black,0,1,Personaluse,21477,2, GA,33.5
 1C6SRFFT9KN649716,Ram,1500,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD",2019,63250, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,35899,3, KY,21.5
 1N4BL4CV0LC154537,Nissan,Altima,2.5 SR FWD,2020,15917, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,24977,2, VA,31.5
 1C6RR6FG8KS604687,Ram,1500 ,"Tradesman Quad Cab 6'4"" Box 2WD",2019,38022, Automatic,RWD,Gas,Silver,Black,0,1,Personaluse,27988,3, LA,21.0
 1FTFW1CV8AFA94889,Ford,F-150,Lariat SuperCrew 5.5' Box 2WD,2010,142000, Automatic,RWD,Gas,Silver,Black,0,3,Personaluse,12995,12, TX,17.0
 5YFEPRAE0LP066557,Toyota,Corolla,LE CVT,2020,53544, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,19436,2, FL,34.0
 3C4NJDBB9JT262029,Jeep,Compass,Latitude 4WD,2018,61034, Automatic,4WD,Gas,Gray,Black,0,2,Fleetuse,19985,4, TX,26.5
 1FTEW1EP6KFD48577,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,44763, Automatic,4WD,Gas,Red,Black,0,1,Personaluse,38988,3, AL,20.5
 1FM5K8D89JGB69940,Ford,Explorer,XLT 4WD,2018,64558, Automatic,4WD,Gas,Black,Black,1,2,Personaluse,26998,4, FL,19.0
 1FMCU9GDXKUB73305,Ford,Escape,SE AWD,2019,50939, Automatic,AWD,Gas,Gray,Gray,0,1,Personaluse,21960,3, MA,25.0
 1C4HJXEG6JW249917,Jeep,Wrangler,Unlimited Sahara (JL),2018,104875, Manual,4WD,Gas,White,Black,1,1,Personaluse,30999,4, NJ,20.0
 1N4BL4BV4LC237955,Nissan,Altima,2.5 S FWD,2020,47407, Automatic,FWD,Gas,Blue,Black,0,1,Fleetuse,21739,2, TX,33.5
 5UXTR7C5XKLF31566,BMW,X3,sDrive30i RWD,2019,41405, Automatic,RWD,Gas,White,Black,0,1,Personaluse,33889,3, CA,26.5
 2C3CDXBG7KH696153,Dodge,Charger,SXT RWD,2019,62643, Automatic,RWD,Gas,White,Black,1,1,Fleetuse,24000,3, TX,24.5
